Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30,174.93545532226562,166.30099487304688,141.2631378173828,305.94488525390625,364.663330078125,176.74611285404396,168.95050048828125,142.041414610686,307.98220462024,371.3166809082031,173.88250930234273,165.5,140.92624749010545,303.72238478405603,361.3333435058594,175.70301699368227,168.50950622558594,141.78215606095287,305.8474309093087,363.72332763671875,92633200,56168000,19884000,28163600,59865000
2022-03-31,171.82583618164062,162.99749755859375,138.40579223632812,300.5348815917969,359.20001220703125,175.19130232369773,166.4949951171875,141.43182173454176,307.1926558891614,367.71331787109375,171.61917803441048,162.95350646972656,138.36299756837354,300.12549002106,358.8800048828125,175.00432947989117,166.44500732421875,141.3770755393763,305.98390660172134,364.8566589355469,103049300,59966000,37524000,33422100,48992700
2022-04-01,171.5305938720703,163.55999755859375,139.48362731933594,301.6169128417969,361.5299987792969,172.09151232886626,165.82699584960938,139.80259792884758,302.30899939577387,364.9166564941406,169.1983887454629,162.3195037841797,137.6493944528036,297.8347557615202,355.5466613769531,171.25505972274473,164.14950561523438,138.83622510765764,301.5681559167176,360.3833312988281,78751300,57090000,25942000,27110500,54263100
2022-04-04,175.5947265625,168.34649658203125,142.2912139892578,307.0269470214844,381.8166809082031,175.64393230157518,168.39450073242188,143.02819955507672,307.1634009699958,383.3033447265625,171.6585076842211,163.20550537109375,139.6428799730055,301.8995865319646,357.510009765625,171.78643960271984,164.125,139.69065571151913,302.27000828188045,363.1266784667969,76468400,49882000,25942000,24289600,82035900
2022-04-05,172.2686309814453,164.05499267578125,139.9220428466797,303.03997802734375,363.7533264160156,175.4569739407951,168.11050415039062,142.3101159402801,306.92934541657195,384.2900085449219,171.638836509714,163.26600646972656,139.7145388197234,302.0554395161012,362.4333190917969,174.66972709725982,167.7415008544922,142.18920353815585,305.36968957882914,378.76666259765625,73401800,53728000,21418000,23156700,80075100
2022-04-06,169.09011840820312,158.75599670410156,135.89828491210938,291.9470520019531,348.586669921875,170.86141984516703,162.1999969482422,138.69740254618586,299.25791307044943,359.6666564941406,167.41722844598058,157.25450134277344,134.87218475857597,289.2274033550409,342.5666809082031,169.6116661902699,161.65049743652344,138.08980328110664,297.4935609790899,357.8233337402344,89058800,79056000,32468000,40110400,89348400
2022-04-07,169.3951873779297,157.7845001220703,135.24191284179688,293.7698974609375,352.4200134277344,170.5957353976524,160.07899475097656,136.5118422894148,295.99239810286326,358.86334228515625,167.14170856316215,154.51150512695312,133.58880560045588,288.87650501412816,340.5133361816406,168.43081790840108,158.39999389648438,135.36282523850036,289.1786849009009,350.7966613769531,77594700,68136000,26234000,31411200,79447200
2022-04-08,167.3778839111328,154.4604949951172,132.65330505371094,289.4808044433594,341.8299865722656,169.0409389910171,157.36849975585938,135.0244608805597,293.5261408970455,349.4800109863281,166.5020757053073,154.2310028076172,132.33283097987936,288.80820296514565,340.8133239746094,169.0409389910171,156.75,134.9383703946311,292.86329675120044,347.7366638183594,76575500,46002000,25142000,24361900,55013700
2022-04-11,163.10708618164062,151.1219940185547,128.21054077148438,278.0662536621094,325.30999755859375,166.33478478538393,154.13650512695312,131.46398360336622,285.230875781308,336.15667724609375,162.8610724769926,150.5345001220703,128.0562794987525,277.8128008858078,324.8800048828125,166.0198950514866,152.71299743652344,131.19626633845286,284.43157734862643,326.79998779296875,72246700,52112000,36884000,34569300,59357100
2022-04-12,164.98663330078125,150.78750610351562,127.1068115234375,274.94683837890625,328.98333740234375,167.1613860255376,155.0989990234375,130.97382925450697,283.4079337629206,340.39666748046875,163.98289318870957,150.38299560546875,126.1857162540227,273.4164244465442,325.5333251953125,165.34089363354275,153.6925048828125,130.97382925450697,281.9457616678411,332.5466613769531,79265200,55178000,32710000,30966700,65976000
